id,source,raw_facility,masked_facility,job_title,location,job_description,requirements,salary_raw,salary_masked,employment_type,application_deadline,contact_information,url,scraped_at
60e65758e2,indeed_japan,株式会社　創生事業団　首都圏事業部,株式会社創●●●●,看護職員 日本橋 職種解説,東京都中央区日本橋箱崎町９－１ グッドタイムナーシングホーム・日本橋,有料老人ホームでのお仕事です。ご入居者様の健康管理をお願いします。バイタルチェック、経管処置、薬の管理、緊急時の対応など。主治医や提携医療機関によるバックアップがあるので安心して働けます。※オンコール・介護業務はありません。,看護師または准看護師の資格が必須。いずれかの資格を所持で可。経験不問、学歴不問、年齢不問。,"1,700円〜1,800円（時給）",,パート,2026年4月30日,品川公共職業安定所、ハローワーク,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304024546861&kJKbn=1&jGSHNo=0L4NlnQd%2Fu%2F0w3w4nwFPzw%3D%3D&fullPart=2&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,2026-04-26T20:06:11
948aa689c6,jobmedley_nurse_tokyo,PDハウス用賀／株式会社サンウェルズ,PDハウス●●●,看護職員/正看護師,東京都世田谷区瀬田五丁目33番22号,PDハウス用賀（世田谷区瀬田）での看護職員業務,,"正職員 月給 376,500円 〜",37〜38万円,正社員,,,https://job-medley.com/ans/991562/?ref_target=campaign,2026-04-26T20:06:45
706ab18bb6,jobmedley_nurse_tokyo,おうちでよかった。訪看,おうちでよ●●●,訪問看護/常勤,東京都板橋区大原町44-3,【訪問看護／常勤】未経験・ブランク可！ 1日4~5件◎ 院内保育園あり 併設カフェ社割あり 【心から「よかった」と思える看護を。】,未経験・ブランク可,"正職員 月給 362,813円 〜 484,813円",36〜48万円,正社員,,,https://job-medley.com/ans/1419912/?ref_target=campaign,2026-04-26T20:06:45
3959c3636d,jobmedley_nurse_tokyo,LE 在宅・施設 訪問看護リハビリステーション自由が丘支店,LE在宅●●●●,看護師/准看護師,東京都目黒区自由が丘,【必ず貰える入社支度金3万円！＋該当者に引っ越し準備金最大20万円支給！】【月給45万円+オンコール手当！！】【土日or日月の選べる固定休】◎訪問未経験の方でも自立できるまでしっかりとサポートします！,訪問未経験の方でも対応可,月給45万円+オンコール手当,40〜50万円,正職員,,,https://job-medley.com/ans/45816/,2026-04-26T20:06:45
e2a5b1da3b,jobmedley_doctor_tokyo,医療法人社団しろひげファミリー　しろひげ在宅診療所,医療法人●●●●,医師,東京都江戸川区東瑞江3-55-11,"■1日の訪問件数：10件前後
■診療体制：医師1名+看護師+ドライバー
■カルテ：電子カルテ「モバカル」
■訪問エリア：診療所を中心とした半径16km圏内

居宅への訪問診療をお願いします。
主治医制をとっており、約100名の患者様を担当いただきます。患者様とは基本的に、月2回の定期訪問のご契約を行っており、1日あたり10件前後の訪問診療をお願いいたします。","医師免許
※訪問診療が未経験の方も大歓迎","正職員 月給 1,660,000円 〜 2,500,000円",166〜250万円,正職員,,,https://job-medley.com/dr/357566/,2026-04-26T20:07:01
1b1305cc80,jobmedley_doctor_tokyo,東京胃腸肛門内視鏡クリニック神田日本橋院,東京胃腸●●●●,医師,東京都千代田区,下部内視鏡検査・EMR必須。新式の医療設備と居心地良い雰囲気のもと「おもてなし医療」を実現。,,年俸制1800～2200万円,1800〜2200万円,,,,https://job-medley.com/dr/1533060/,2026-04-26T20:07:01
4759f93f38,jobmedley_pharmacist_tokyo,あだち谷中薬局,あだち谷●●●●,薬剤師,東京都足立区谷中1-17-4,"◾️薬局内での主な業務
・処方箋の監査（前回分と比較）
・調剤済み薬の鑑査
・施設で使用する薬の準備・確認
・新入居や退院患者の薬情報を医療機関へ提供

◾️往診同行の流れ
前日：必要な薬の情報をクリニックへ送付
当日：医師と一緒に施設訪問し、残薬確認・副作用チェック・処方提案
訪問後：処方変更点をまとめて薬局へ共有
翌日：薬歴や報告書を作成

《オンコール当番あり》
当番は月に1日程度。
※出動手当あり

19時以降の連絡はほとんどなし。（休日は2-3件あり）
薬剤師間であらかじめ当番者を決め対応しています。","◾️資格
・薬剤師免許をお持ちの方
・普通自動車免許（AT限定可）

◾️勤務条件
・月2回程度、土曜勤務（シフト制）が可能な方
・オンコール当番に参加できる方
・社用車（軽自動車・AT）の運転が可能な方

【オンコール実績ベース】
- 日曜・祝日コール当番：月2回前後
- 閉局時間帯コール当番：月5～7回前後
- 緊急出動：年数回程度
※店舗により多少異なります
※各種手当あり","正職員 月給 400,000円 〜 625,000円",40〜62万円,正職員,,,https://job-medley.com/apo/567220/,2026-04-26T20:07:14
b07f45c90b,jobmedley_pharmacist_tokyo,在宅サポート薬局　多摩センター店,在宅サポ●●●●,薬剤師,東京都多摩市落合,在宅医療で活躍したい薬剤師さん募集！！（未経験歓迎！マイカー通勤可！）,,,,正職員,,,https://job-medley.com/apo/567222/,2026-04-26T20:07:14
dd0eb66ebc,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,事務補佐員（総務課庶務係）,,,,,,,2026年05月22日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2853,2026-04-26T20:07:47
e1742d45bf,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,アシスタントナース（看護助手・非常勤）昼間　※雇用時の職名は「技能補佐員」,,,,,,非常勤,2026年05月22日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2852,2026-04-26T20:07:47
1c8f410ae8,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,アシスタントナース（看護助手・非常勤）　※雇用時の職名は「技能補佐員」,,,,,,非常勤,2026年05月22日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2851,2026-04-26T20:07:47
1dd4065f50,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,看護助手（常勤・特別賞与制度適用者）,,,,,,常勤,2026年05月22日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2850,2026-04-26T20:07:47
62b99de242,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,看護技術補佐員（看護師（パート））【臨床検査部・採血業務】,,,,,,パート,2026年05月18日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2847,2026-04-26T20:07:47
e18cfad7fe,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,特任事務職員（任期付常勤）【医事課医療事務管理係】,,,,,,任期付常勤,2026年05月08日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2846,2026-04-26T20:07:47
370a790f15,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,事務補佐員（患者支援課診療支援係）,,,,,,,2026年05月18日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2845,2026-04-26T20:07:47
e4b4a72978,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,特任技術職員（任期付常勤）【がんゲノム医療センター】,,,,,,任期付常勤,2026年04月30日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2843,2026-04-26T20:07:47
cc6c4e4de9,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,事務補佐員（病棟・外来）（医師事務作業補助者）,,,,,,,2026年05月29日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2839,2026-04-26T20:07:47
030a50c185,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,事務補佐員（医事課情報処理係）,,,,,,,2026年05月14日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2842,2026-04-26T20:07:47
423a4f2a0c,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,特任技術職員（任期付常勤）【未来医療開発部データセンターDMグループ】,,,,,,任期付常勤,2026年05月22日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2841,2026-04-26T20:07:47
bc4b564b6b,osaka_university_hospital,大阪大学医学部附属病院,大阪大学●●●●,特任医療技術員※任期付き常勤【臨床研究センターCRA】,,,,,,任期付常勤,2026年05月22日 12時00分,,https://www.hosp.med.osaka-u.ac.jp/recruit/detail.php?id=2840,2026-04-26T20:07:47
